HIVpos_only_Mtb_DEG,HIVneg_only_Mtb_DEG
,ENSG00000171202
,ENSG00000171208
,ENSG00000171451
,ENSG00000171467
,ENSG00000171552
,ENSG00000171612
,ENSG00000171634
,ENSG00000171860
,ENSG00000172270
,ENSG00000172292
,ENSG00000172315
,ENSG00000172354
,ENSG00000172493
,ENSG00000172568
,ENSG00000172732
,ENSG00000172748
,ENSG00000172785
,ENSG00000173114
,ENSG00000173145
,ENSG00000173212
,ENSG00000173372
,ENSG00000173930
,ENSG00000174038
,ENSG00000174132
,ENSG00000174501
,ENSG00000174672
,ENSG00000174738
,ENSG00000175029
,ENSG00000175182
,ENSG00000175215
,ENSG00000175390
,ENSG00000175414
,ENSG00000175463
,ENSG00000175787
,ENSG00000175792
,ENSG00000176046
,ENSG00000176108
,ENSG00000176182
,ENSG00000176293
,ENSG00000176390
,ENSG00000176396
,ENSG00000177150
,ENSG00000177352
,ENSG00000177432
,ENSG00000177453
,ENSG00000177485
,ENSG00000177807
,ENSG00000177842
,ENSG00000177943
,ENSG00000178028
,ENSG00000178035
,ENSG00000178053
,ENSG00000178177
,ENSG00000178386
,ENSG00000178538
,ENSG00000178950
,ENSG00000179029
,ENSG00000179241
,ENSG00000179361
,ENSG00000179698
,ENSG00000179715
,ENSG00000179862
,ENSG00000180096
,ENSG00000180155
,ENSG00000180423
,ENSG00000180448
,ENSG00000180543
,ENSG00000180739
,ENSG00000180902
,ENSG00000180917
,ENSG00000181074
,ENSG00000181135
,ENSG00000181218
,ENSG00000181220
,ENSG00000181541
,ENSG00000181690
,ENSG00000181896
,ENSG00000182183
,ENSG00000182196
,ENSG00000182224
,ENSG00000182718
,ENSG00000182752
,ENSG00000182774
,ENSG00000182903
,ENSG00000182952
,ENSG00000183751
,ENSG00000183878
,ENSG00000183921
,ENSG00000183943
,ENSG00000184182
,ENSG00000184220
,ENSG00000184260
,ENSG00000184261
,ENSG00000184786
,ENSG00000184860
,ENSG00000184897
,ENSG00000185000
,ENSG00000185201
,ENSG00000185222
,ENSG00000185246
,ENSG00000185344
,ENSG00000185651
,ENSG00000185697
,ENSG00000185753
,ENSG00000185896
,ENSG00000186010
,ENSG00000186407
,ENSG00000186472
,ENSG00000186635
,ENSG00000186792
,ENSG00000186806
,ENSG00000186810
,ENSG00000187045
,ENSG00000187097
,ENSG00000187486
,ENSG00000187630
,ENSG00000187747
,ENSG00000187778
,ENSG00000187957
,ENSG00000187994
,ENSG00000188171
,ENSG00000188282
,ENSG00000188452
,ENSG00000188613
,ENSG00000188739
,ENSG00000188818
,ENSG00000188921
,ENSG00000188976
,ENSG00000189350
,ENSG00000196187
,ENSG00000196284
,ENSG00000196511
,ENSG00000196586
,ENSG00000196588
,ENSG00000196704
,ENSG00000196715
,ENSG00000196747
,ENSG00000196787
,ENSG00000196793
,ENSG00000197124
,ENSG00000197279
,ENSG00000197405
,ENSG00000197415
,ENSG00000197417
,ENSG00000197520
,ENSG00000197694
,ENSG00000197724
,ENSG00000197816
,ENSG00000197857
,ENSG00000197956
,ENSG00000198046
,ENSG00000198108
,ENSG00000198205
,ENSG00000198216
,ENSG00000198283
,ENSG00000198315
,ENSG00000198342
,ENSG00000198369
,ENSG00000198393
,ENSG00000198455
,ENSG00000198498
,ENSG00000198520
,ENSG00000198523
,ENSG00000198589
,ENSG00000198680
,ENSG00000198752
,ENSG00000198815
,ENSG00000198837
,ENSG00000198919
,ENSG00000198929
,ENSG00000198932
,ENSG00000198948
,ENSG00000204086
,ENSG00000204220
,ENSG00000204248
,ENSG00000204252
,ENSG00000204427
,ENSG00000204439
,ENSG00000204560
,ENSG00000205581
,ENSG00000205809
,ENSG00000205810
,ENSG00000206077
,ENSG00000206140
,ENSG00000213413
,ENSG00000213420
,ENSG00000213533
,ENSG00000214046
,ENSG00000214193
,ENSG00000214717
,ENSG00000214756
,ENSG00000215397
,ENSG00000215529
,ENSG00000216490
,ENSG00000221923
,ENSG00000221926
,ENSG00000223547
,ENSG00000223609
,ENSG00000234965
,ENSG00000235162
,ENSG00000237440
,ENSG00000239306
,ENSG00000239704
,ENSG00000240303
,ENSG00000240972
,ENSG00000241322
,ENSG00000241343
,ENSG00000243279
,ENSG00000243716
,ENSG00000244476
,ENSG00000244482
,ENSG00000244731
,ENSG00000244734
,ENSG00000249222
,ENSG00000250067
,ENSG00000253368
,ENSG00000253598
,ENSG00000253626
,ENSG00000256061
,ENSG00000256223
,ENSG00000256660
,ENSG00000256713
,ENSG00000257218
,ENSG00000257743
,ENSG00000257949
,ENSG00000258102
,ENSG00000258366
,ENSG00000258659
,ENSG00000262246
,ENSG00000268043
,ENSG00000272398
,ENSG00000273841
,ENSG00000275052
,ENSG00000275066
,ENSG00000275713
,ENSG00000275714
,ENSG00000276023
,ENSG00000278705
,ENSG00000280789
